,Unnamed: 0,DIST_FRM_ORG,ORG,DEALER,DEALER_LINK,STREET,LOCALITY,REGION,POSTAL_CODE,TEL_TYPE,TEL_LINK,zip_from
10,10,20.58 mi,Mercedes-Benz of Rockville Centre,Mercedes-Benz of Rockville Centre,http://www.lakeview.mercedesdealer.com/,650 Sunrise Highway,Rockville Centre,NY,11570,(516) 766-6900,1-516-766-6900,10019
11,11,21.23 mi,Mercedes-Benz of White Plains,Mercedes-Benz of White Plains,http://www.mbwhiteplains.com/,50 Bank Street,White Plains,NY,10606,(914) 949-4000,1-914-949-4000,10019
12,12,23.00 mi,Mercedes-Benz of Nanuet,Mercedes-Benz of Nanuet,http://www.nanuet.mercedesdealer.com/,99 Route 304,Nanuet,NY,10954,(845) 624-1500,1-845-624-1500,10019
13,13,0.70 mi,"Mercedes-Benz Manhattan, Inc.","Mercedes-Benz Manhattan, Inc.",http://www.mbmanhattan.com/,770 11th Avenue,New York,NY,10019,(212) 629-1600,1-212-629-1600,10019
14,14,3.55 mi,Silver Star Motors,Silver Star Motors,http://www.silverstar.mercedesdealer.com/,36-11 Northern Boulevard,Long Island City,NY,11101,(718) 361-2332,1-718-361-2332,10019
15,15,8.56 mi,Benzel-Busch Motor Car Corp.,Benzel-Busch Motor Car Corp.,http://mercedes.benzelbusch.com/,28 Grand Avenue,Englewood,NJ,7631,(866) 751-2754,1-866-751-2754,10019
16,16,11.39 mi,"Helms Bros., Inc.","Helms Bros., Inc.",http://www.helmsbros.mercedesdealer.com/,208-24 Northern Blvd.,Bayside,NY,11361,(718) 631-8181,1-718-631-8181,10019
17,17,12.22 mi,Mercedes-Benz of Brooklyn,Mercedes-Benz of Brooklyn,http://www.brooklyn.mercedesdealer.com/,1810 Shore Parkway,Brooklyn,NY,11214,(718) 258-5100,1-718-258-5100,10019
18,18,12.94 mi,"Prestige Motors, Inc.","Prestige Motors, Inc.",http://www.prestige.mercedesdealer.com/,755 Route 17,Paramus,NJ,7652,(201) 265-7800,1-201-265-7800,10019
19,19,15.89 mi,Mercedes-Benz of New Rochelle,Mercedes-Benz of New Rochelle,http://www.mbnewrochelle.com/,77 East Main Street,New Rochelle,NY,10801,(914) 275-4000,1-914-275-4000,10019
20,20,17.24 mi,Ray Catena of Union LLC,Ray Catena of Union LLC,http://www.raycatenaunion.com/,2585 Route 22 West,Union,NJ,7083,(908) 379-7200,1-908-379-7200,10019
21,21,17.93 mi,Mercedes-Benz of Caldwell,Mercedes-Benz of Caldwell,http://www.caldwell.mercedesdealer.com/,1230 Bloomfield Avenue,Fairfield,NJ,7004,(973) 227-3600,1-973-227-3600,10019
22,22,18.43 mi,Rallye Motors LLC,Rallye Motors LLC,http://www.rallyemotors.com/,1600 Northern Blvd.,Roslyn,NY,11576,(516) 625-1600,1-516-625-1600,10019
23,23,20.58 mi,Mercedes-Benz of Rockville Centre,Mercedes-Benz of Rockville Centre,http://www.lakeview.mercedesdealer.com/,650 Sunrise Highway,Rockville Centre,NY,11570,(516) 766-6900,1-516-766-6900,10019
24,24,21.23 mi,Mercedes-Benz of White Plains,Mercedes-Benz of White Plains,http://www.mbwhiteplains.com/,50 Bank Street,White Plains,NY,10606,(914) 949-4000,1-914-949-4000,10019
25,25,23.00 mi,Mercedes-Benz of Nanuet,Mercedes-Benz of Nanuet,http://www.nanuet.mercedesdealer.com/,99 Route 304,Nanuet,NY,10954,(845) 624-1500,1-845-624-1500,10019
26,26,0.78 mi,"Mercedes-Benz Manhattan, Inc.","Mercedes-Benz Manhattan, Inc.",http://www.mbmanhattan.com/,770 11th Avenue,New York,NY,10019,(212) 629-1600,1-212-629-1600,10020
27,27,2.92 mi,Silver Star Motors,Silver Star Motors,http://www.silverstar.mercedesdealer.com/,36-11 Northern Boulevard,Long Island City,NY,11101,(718) 361-2332,1-718-361-2332,10020
28,28,9.09 mi,Benzel-Busch Motor Car Corp.,Benzel-Busch Motor Car Corp.,http://mercedes.benzelbusch.com/,28 Grand Avenue,Englewood,NJ,7631,(866) 751-2754,1-866-751-2754,10020
29,29,10.87 mi,"Helms Bros., Inc.","Helms Bros., Inc.",http://www.helmsbros.mercedesdealer.com/,208-24 Northern Blvd.,Bayside,NY,11361,(718) 631-8181,1-718-631-8181,10020
30,30,11.68 mi,Mercedes-Benz of Brooklyn,Mercedes-Benz of Brooklyn,http://www.brooklyn.mercedesdealer.com/,1810 Shore Parkway,Brooklyn,NY,11214,(718) 258-5100,1-718-258-5100,10020
31,31,13.63 mi,"Prestige Motors, Inc.","Prestige Motors, Inc.",http://www.prestige.mercedesdealer.com/,755 Route 17,Paramus,NJ,7652,(201) 265-7800,1-201-265-7800,10020
32,32,15.91 mi,Mercedes-Benz of New Rochelle,Mercedes-Benz of New Rochelle,http://www.mbnewrochelle.com/,77 East Main Street,New Rochelle,NY,10801,(914) 275-4000,1-914-275-4000,10020
33,33,17.55 mi,Ray Catena of Union LLC,Ray Catena of Union LLC,http://www.raycatenaunion.com/,2585 Route 22 West,Union,NJ,7083,(908) 379-7200,1-908-379-7200,10020
34,34,18.03 mi,Rallye Motors LLC,Rallye Motors LLC,http://www.rallyemotors.com/,1600 Northern Blvd.,Roslyn,NY,11576,(516) 625-1600,1-516-625-1600,10020
35,35,18.60 mi,Mercedes-Benz of Caldwell,Mercedes-Benz of Caldwell,http://www.caldwell.mercedesdealer.com/,1230 Bloomfield Avenue,Fairfield,NJ,7004,(973) 227-3600,1-973-227-3600,10020
36,36,19.91 mi,Mercedes-Benz of Rockville Centre,Mercedes-Benz of Rockville Centre,http://www.lakeview.mercedesdealer.com/,650 Sunrise Highway,Rockville Centre,NY,11570,(516) 766-6900,1-516-766-6900,10020
37,37,21.45 mi,Mercedes-Benz of White Plains,Mercedes-Benz of White Plains,http://www.mbwhiteplains.com/,50 Bank Street,White Plains,NY,10606,(914) 949-4000,1-914-949-4000,10020
38,38,23.58 mi,Mercedes-Benz of Nanuet,Mercedes-Benz of Nanuet,http://www.nanuet.mercedesdealer.com/,99 Route 304,Nanuet,NY,10954,(845) 624-1500,1-845-624-1500,10020
39,39,2.02 mi,Silver Star Motors,Silver Star Motors,http://www.silverstar.mercedesdealer.com/,36-11 Northern Boulevard,Long Island City,NY,11101,(718) 361-2332,1-718-361-2332,10021
40,40,2.17 mi,"Mercedes-Benz Manhattan, Inc.","Mercedes-Benz Manhattan, Inc.",http://www.mbmanhattan.com/,770 11th Avenue,New York,NY,10019,(212) 629-1600,1-212-629-1600,10021
41,41,8.46 mi,Benzel-Busch Motor Car Corp.,Benzel-Busch Motor Car Corp.,http://mercedes.benzelbusch.com/,28 Grand Avenue,Englewood,NJ,7631,(866) 751-2754,1-866-751-2754,10021
42,42,9.63 mi,"Helms Bros., Inc.","Helms Bros., Inc.",http://www.helmsbros.mercedesdealer.com/,208-24 Northern Blvd.,Bayside,NY,11361,(718) 631-8181,1-718-631-8181,10021
43,43,12.47 mi,Mercedes-Benz of Brooklyn,Mercedes-Benz of Brooklyn,http://www.brooklyn.mercedesdealer.com/,1810 Shore Parkway,Brooklyn,NY,11214,(718) 258-5100,1-718-258-5100,10021
44,44,13.52 mi,"Prestige Motors, Inc.","Prestige Motors, Inc.",http://www.prestige.mercedesdealer.com/,755 Route 17,Paramus,NJ,7652,(201) 265-7800,1-201-265-7800,10021
45,45,14.55 mi,Mercedes-Benz of New Rochelle,Mercedes-Benz of New Rochelle,http://www.mbnewrochelle.com/,77 East Main Street,New Rochelle,NY,10801,(914) 275-4000,1-914-275-4000,10021
46,46,16.67 mi,Rallye Motors LLC,Rallye Motors LLC,http://www.rallyemotors.com/,1600 Northern Blvd.,Roslyn,NY,11576,(516) 625-1600,1-516-625-1600,10021
47,47,18.95 mi,Ray Catena of Union LLC,Ray Catena of Union LLC,http://www.raycatenaunion.com/,2585 Route 22 West,Union,NJ,7083,(908) 379-7200,1-908-379-7200,10021
48,48,18.99 mi,Mercedes-Benz of Rockville Centre,Mercedes-Benz of Rockville Centre,http://www.lakeview.mercedesdealer.com/,650 Sunrise Highway,Rockville Centre,NY,11570,(516) 766-6900,1-516-766-6900,10021
49,49,19.57 mi,Mercedes-Benz of Caldwell,Mercedes-Benz of Caldwell,http://www.caldwell.mercedesdealer.com/,1230 Bloomfield Avenue,Fairfield,NJ,7004,(973) 227-3600,1-973-227-3600,10021
50,50,20.26 mi,Mercedes-Benz of White Plains,Mercedes-Benz of White Plains,http://www.mbwhiteplains.com/,50 Bank Street,White Plains,NY,10606,(914) 949-4000,1-914-949-4000,10021
51,51,23.00 mi,Mercedes-Benz of Nanuet,Mercedes-Benz of Nanuet,http://www.nanuet.mercedesdealer.com/,99 Route 304,Nanuet,NY,10954,(845) 624-1500,1-845-624-1500,10021
52,52,24.34 mi,Mercedes-Benz of Greenwich,Mercedes-Benz of Greenwich,http://www.greenwichmb.com/,261 West Putnam Ave.,Greenwich,CT,6830,(203) 869-2850,1-203-869-2850,10021
53,53,1.43 mi,"Mercedes-Benz Manhattan, Inc.","Mercedes-Benz Manhattan, Inc.",http://www.mbmanhattan.com/,770 11th Avenue,New York,NY,10019,(212) 629-1600,1-212-629-1600,10022
54,54,2.26 mi,Silver Star Motors,Silver Star Motors,http://www.silverstar.mercedesdealer.com/,36-11 Northern Boulevard,Long Island City,NY,11101,(718) 361-2332,1-718-361-2332,10022
55,55,9.16 mi,Benzel-Busch Motor Car Corp.,Benzel-Busch Motor Car Corp.,http://mercedes.benzelbusch.com/,28 Grand Avenue,Englewood,NJ,7631,(866) 751-2754,1-866-751-2754,10022
56,56,10.22 mi,"Helms Bros., Inc.","Helms Bros., Inc.",http://www.helmsbros.mercedesdealer.com/,208-24 Northern Blvd.,Bayside,NY,11361,(718) 631-8181,1-718-631-8181,10022
57,57,11.66 mi,Mercedes-Benz of Brooklyn,Mercedes-Benz of Brooklyn,http://www.brooklyn.mercedesdealer.com/,1810 Shore Parkway,Brooklyn,NY,11214,(718) 258-5100,1-718-258-5100,10022
58,58,13.94 mi,"Prestige Motors, Inc.","Prestige Motors, Inc.",http://www.prestige.mercedesdealer.com/,755 Route 17,Paramus,NJ,7652,(201) 265-7800,1-201-265-7800,10022
59,59,15.51 mi,Mercedes-Benz of New Rochelle,Mercedes-Benz of New Rochelle,http://www.mbnewrochelle.com/,77 East Main Street,New Rochelle,NY,10801,(914) 275-4000,1-914-275-4000,10022
60,60,17.40 mi,Rallye Motors LLC,Rallye Motors LLC,http://www.rallyemotors.com/,1600 Northern Blvd.,Roslyn,NY,11576,(516) 625-1600,1-516-625-1600,10022
61,61,18.16 mi,Ray Catena of Union LLC,Ray Catena of Union LLC,http://www.raycatenaunion.com/,2585 Route 22 West,Union,NJ,7083,(908) 379-7200,1-908-379-7200,10022
62,62,19.24 mi,Mercedes-Benz of Caldwell,Mercedes-Benz of Caldwell,http://www.caldwell.mercedesdealer.com/,1230 Bloomfield Avenue,Fairfield,NJ,7004,(973) 227-3600,1-973-227-3600,10022
63,63,19.27 mi,Mercedes-Benz of Rockville Centre,Mercedes-Benz of Rockville Centre,http://www.lakeview.mercedesdealer.com/,650 Sunrise Highway,Rockville Centre,NY,11570,(516) 766-6900,1-516-766-6900,10022
64,64,21.20 mi,Mercedes-Benz of White Plains,Mercedes-Benz of White Plains,http://www.mbwhiteplains.com/,50 Bank Street,White Plains,NY,10606,(914) 949-4000,1-914-949-4000,10022
65,65,23.69 mi,Mercedes-Benz of Nanuet,Mercedes-Benz of Nanuet,http://www.nanuet.mercedesdealer.com/,99 Route 304,Nanuet,NY,10954,(845) 624-1500,1-845-624-1500,10022
66,66,1.50 mi,"Mercedes-Benz Manhattan, Inc.","Mercedes-Benz Manhattan, Inc.",http://www.mbmanhattan.com/,770 11th Avenue,New York,NY,10019,(212) 629-1600,1-212-629-1600,10023
67,67,3.23 mi,Silver Star Motors,Silver Star Motors,http://www.silverstar.mercedesdealer.com/,36-11 Northern Boulevard,Long Island City,NY,11101,(718) 361-2332,1-718-361-2332,10023
68,68,7.95 mi,Benzel-Busch Motor Car Corp.,Benzel-Busch Motor Car Corp.,http://mercedes.benzelbusch.com/,28 Grand Avenue,Englewood,NJ,7631,(866) 751-2754,1-866-751-2754,10023
69,69,10.82 mi,"Helms Bros., Inc.","Helms Bros., Inc.",http://www.helmsbros.mercedesdealer.com/,208-24 Northern Blvd.,Bayside,NY,11361,(718) 631-8181,1-718-631-8181,10023
70,70,12.62 mi,"Prestige Motors, Inc.","Prestige Motors, Inc.",http://www.prestige.mercedesdealer.com/,755 Route 17,Paramus,NJ,7652,(201) 265-7800,1-201-265-7800,10023
71,71,12.81 mi,Mercedes-Benz of Brooklyn,Mercedes-Benz of Brooklyn,http://www.brooklyn.mercedesdealer.com/,1810 Shore Parkway,Brooklyn,NY,11214,(718) 258-5100,1-718-258-5100,10023
72,72,15.06 mi,Mercedes-Benz of New Rochelle,Mercedes-Benz of New Rochelle,http://www.mbnewrochelle.com/,77 East Main Street,New Rochelle,NY,10801,(914) 275-4000,1-914-275-4000,10023
73,73,17.75 mi,Rallye Motors LLC,Rallye Motors LLC,http://www.rallyemotors.com/,1600 Northern Blvd.,Roslyn,NY,11576,(516) 625-1600,1-516-625-1600,10023
74,74,18.00 mi,Ray Catena of Union LLC,Ray Catena of Union LLC,http://www.raycatenaunion.com/,2585 Route 22 West,Union,NJ,7083,(908) 379-7200,1-908-379-7200,10023
75,75,18.33 mi,Mercedes-Benz of Caldwell,Mercedes-Benz of Caldwell,http://www.caldwell.mercedesdealer.com/,1230 Bloomfield Avenue,Fairfield,NJ,7004,(973) 227-3600,1-973-227-3600,10023
76,76,20.24 mi,Mercedes-Benz of Rockville Centre,Mercedes-Benz of Rockville Centre,http://www.lakeview.mercedesdealer.com/,650 Sunrise Highway,Rockville Centre,NY,11570,(516) 766-6900,1-516-766-6900,10023
77,77,20.43 mi,Mercedes-Benz of White Plains,Mercedes-Benz of White Plains,http://www.mbwhiteplains.com/,50 Bank Street,White Plains,NY,10606,(914) 949-4000,1-914-949-4000,10023
78,78,22.45 mi,Mercedes-Benz of Nanuet,Mercedes-Benz of Nanuet,http://www.nanuet.mercedesdealer.com/,99 Route 304,Nanuet,NY,10954,(845) 624-1500,1-845-624-1500,10023
79,79,24.82 mi,Mercedes-Benz of Greenwich,Mercedes-Benz of Greenwich,http://www.greenwichmb.com/,261 West Putnam Ave.,Greenwich,CT,6830,(203) 869-2850,1-203-869-2850,10023
80,80,2.19 mi,"Mercedes-Benz Manhattan, Inc.","Mercedes-Benz Manhattan, Inc.",http://www.mbmanhattan.com/,770 11th Avenue,New York,NY,10019,(212) 629-1600,1-212-629-1600,10024
81,81,3.38 mi,Silver Star Motors,Silver Star Motors,http://www.silverstar.mercedesdealer.com/,36-11 Northern Boulevard,Long Island City,NY,11101,(718) 361-2332,1-718-361-2332,10024
82,82,7.32 mi,Benzel-Busch Motor Car Corp.,Benzel-Busch Motor Car Corp.,http://mercedes.benzelbusch.com/,28 Grand Avenue,Englewood,NJ,7631,(866) 751-2754,1-866-751-2754,10024
83,83,10.61 mi,"Helms Bros., Inc.","Helms Bros., Inc.",http://www.helmsbros.mercedesdealer.com/,208-24 Northern Blvd.,Bayside,NY,11361,(718) 631-8181,1-718-631-8181,10024
84,84,12.17 mi,"Prestige Motors, Inc.","Prestige Motors, Inc.",http://www.prestige.mercedesdealer.com/,755 Route 17,Paramus,NJ,7652,(201) 265-7800,1-201-265-7800,10024
85,85,13.46 mi,Mercedes-Benz of Brooklyn,Mercedes-Benz of Brooklyn,http://www.brooklyn.mercedesdealer.com/,1810 Shore Parkway,Brooklyn,NY,11214,(718) 258-5100,1-718-258-5100,10024
86,86,14.41 mi,Mercedes-Benz of New Rochelle,Mercedes-Benz of New Rochelle,http://www.mbnewrochelle.com/,77 East Main Street,New Rochelle,NY,10801,(914) 275-4000,1-914-275-4000,10024
87,87,17.39 mi,Rallye Motors LLC,Rallye Motors LLC,http://www.rallyemotors.com/,1600 Northern Blvd.,Roslyn,NY,11576,(516) 625-1600,1-516-625-1600,10024
88,88,18.45 mi,Mercedes-Benz of Caldwell,Mercedes-Benz of Caldwell,http://www.caldwell.mercedesdealer.com/,1230 Bloomfield Avenue,Fairfield,NJ,7004,(973) 227-3600,1-973-227-3600,10024
89,89,18.51 mi,Ray Catena of Union LLC,Ray Catena of Union LLC,http://www.raycatenaunion.com/,2585 Route 22 West,Union,NJ,7083,(908) 379-7200,1-908-379-7200,10024
90,90,19.73 mi,Mercedes-Benz of White Plains,Mercedes-Benz of White Plains,http://www.mbwhiteplains.com/,50 Bank Street,White Plains,NY,10606,(914) 949-4000,1-914-949-4000,10024
91,91,20.22 mi,Mercedes-Benz of Rockville Centre,Mercedes-Benz of Rockville Centre,http://www.lakeview.mercedesdealer.com/,650 Sunrise Highway,Rockville Centre,NY,11570,(516) 766-6900,1-516-766-6900,10024
92,92,21.85 mi,Mercedes-Benz of Nanuet,Mercedes-Benz of Nanuet,http://www.nanuet.mercedesdealer.com/,99 Route 304,Nanuet,NY,10954,(845) 624-1500,1-845-624-1500,10024
93,93,24.17 mi,Mercedes-Benz of Greenwich,Mercedes-Benz of Greenwich,http://www.greenwichmb.com/,261 West Putnam Ave.,Greenwich,CT,6830,(203) 869-2850,1-203-869-2850,10024
94,94,3.18 mi,"Mercedes-Benz Manhattan, Inc.","Mercedes-Benz Manhattan, Inc.",http://www.mbmanhattan.com/,770 11th Avenue,New York,NY,10019,(212) 629-1600,1-212-629-1600,10025
95,95,3.93 mi,Silver Star Motors,Silver Star Motors,http://www.silverstar.mercedesdealer.com/,36-11 Northern Boulevard,Long Island City,NY,11101,(718) 361-2332,1-718-361-2332,10025
96,96,6.36 mi,Benzel-Busch Motor Car Corp.,Benzel-Busch Motor Car Corp.,http://mercedes.benzelbusch.com/,28 Grand Avenue,Englewood,NJ,7631,(866) 751-2754,1-866-751-2754,10025
97,97,10.53 mi,"Helms Bros., Inc.","Helms Bros., Inc.",http://www.helmsbros.mercedesdealer.com/,208-24 Northern Blvd.,Bayside,NY,11361,(718) 631-8181,1-718-631-8181,10025
98,98,11.44 mi,"Prestige Motors, Inc.","Prestige Motors, Inc.",http://www.prestige.mercedesdealer.com/,755 Route 17,Paramus,NJ,7652,(201) 265-7800,1-201-265-7800,10025
99,99,13.56 mi,Mercedes-Benz of New Rochelle,Mercedes-Benz of New Rochelle,http://www.mbnewrochelle.com/,77 East Main Street,New Rochelle,NY,10801,(914) 275-4000,1-914-275-4000,10025
100,100,14.45 mi,Mercedes-Benz of Brooklyn,Mercedes-Benz of Brooklyn,http://www.brooklyn.mercedesdealer.com/,1810 Shore Parkway,Brooklyn,NY,11214,(718) 258-5100,1-718-258-5100,10025
101,101,17.03 mi,Rallye Motors LLC,Rallye Motors LLC,http://www.rallyemotors.com/,1600 Northern Blvd.,Roslyn,NY,11576,(516) 625-1600,1-516-625-1600,10025
102,102,18.52 mi,Mercedes-Benz of Caldwell,Mercedes-Benz of Caldwell,http://www.caldwell.mercedesdealer.com/,1230 Bloomfield Avenue,Fairfield,NJ,7004,(973) 227-3600,1-973-227-3600,10025
103,103,18.75 mi,Mercedes-Benz of White Plains,Mercedes-Benz of White Plains,http://www.mbwhiteplains.com/,50 Bank Street,White Plains,NY,10606,(914) 949-4000,1-914-949-4000,10025
104,104,19.16 mi,Ray Catena of Union LLC,Ray Catena of Union LLC,http://www.raycatenaunion.com/,2585 Route 22 West,Union,NJ,7083,(908) 379-7200,1-908-379-7200,10025
105,105,20.39 mi,Mercedes-Benz of Rockville Centre,Mercedes-Benz of Rockville Centre,http://www.lakeview.mercedesdealer.com/,650 Sunrise Highway,Rockville Centre,NY,11570,(516) 766-6900,1-516-766-6900,10025
106,106,20.90 mi,Mercedes-Benz of Nanuet,Mercedes-Benz of Nanuet,http://www.nanuet.mercedesdealer.com/,99 Route 304,Nanuet,NY,10954,(845) 624-1500,1-845-624-1500,10025
107,107,23.29 mi,Mercedes-Benz of Greenwich,Mercedes-Benz of Greenwich,http://www.greenwichmb.com/,261 West Putnam Ave.,Greenwich,CT,6830,(203) 869-2850,1-203-869-2850,10025
